Freq,Db
1415000000,-44.46
1415009766,-45.44
1415019531,-44.66
1415029297,-44.38
1415039062,-44.22
1415048828,-44.61
1415058594,-44.11
1415068359,-44.13
1415078125,-43.81
1415087891,-43.07
1415097656,-43.67
1415107422,-43.4
1415117187,-43.58
1415126953,-43.22
1415136719,-42.72
1415146484,-42.86
1415156250,-42
1415166016,-43.08
1415175781,-42.45
1415185547,-42.82
1415195312,-42.08
1415205078,-42.79
1415214844,-41.31
1415224609,-42.23
1415234375,-41.36
1415244141,-41.59
1415253906,-41.27
1415263672,-41.1
1415273437,-41.08
1415283203,-41.52
1415292969,-41.61
1415302734,-42.4
1415312500,-40.8
1415322265,-41.19
1415332031,-41.04
1415341797,-40.18
1415351562,-40.49
1415361328,-39.94
1415371094,-41
1415380859,-39.87
1415390625,-40.62
1415400390,-40.27
1415410156,-40.1
1415419922,-40.17
1415429687,-41.08
1415439453,-40.03
1415449219,-40.87
1415458984,-39.56
1415468750,-39.23
1415478515,-39.87
1415488281,-39.91
1415498047,-40.61
1415507812,-40.49
1415517578,-40.25
1415527343,-39.78
1415537109,-39.97
1415546875,-40.21
1415556640,-39.36
1415566406,-40.25
1415576172,-39.13
1415585937,-39.91
1415595703,-40.21
1415605468,-39.93
1415615234,-40.87
1415625000,-40.01
1415634765,-40.17
1415644531,-40.01
1415654297,-40.04
1415664062,-40.93
1415673828,-40.16
1415683593,-40.05
1415693359,-40.37
1415703125,-39.69
1415712890,-40.31
1415722656,-40.53
1415732422,-40.4
1415742187,-40.59
1415751953,-39.78
1415761718,-39.62
1415771484,-40.51
1415781250,-40.24
1415791015,-41.1
1415800781,-40.84
1415810546,-40.2
1415820312,-40.62
1415830078,-41.01
1415839843,-40.47
1415849609,-40.05
1415859375,-39.85
1415869140,-40.18
1415878906,-40.04
1415888671,-40.53
1415898437,-40.52
1415908203,-40.48
1415917968,-40.53
1415927734,-40.19
1415937500,-40.29
1415947265,-40.55
1415957031,-40.16
1415966796,-39.89
1415976562,-40.84
1415986328,-39.85
1415996093,-39.63
1416005859,-40.44
1416015624,-39.74
1416025390,-39.93
1416035156,-39.61
1416044921,-40.07
1416054687,-40.63
1416064453,-40.15
1416074218,-39.94
1416083984,-40.15
1416093749,-40.44
1416103515,-39.98
1416113281,-39.27
1416123046,-39.86
1416132812,-40.23
1416142578,-39.82
1416152343,-39.76
1416162109,-39.26
1416171874,-39.73
1416181640,-39.51
1416191406,-40.38
1416201171,-40.07
1416210937,-39.33
1416220703,-39.98
1416230468,-40.62
1416240234,-40.34
1416249999,-40.07
1416259765,-40.07
1416269531,-40.08
1416279296,-39.87
1416289062,-40.26
1416298827,-39.49
1416308593,-40.56
1416318359,-40.28
1416328124,-40
1416337890,-39.64
1416347656,-39.89
1416357421,-40.07
1416367187,-38.93
1416376952,-39.72
1416386718,-39.47
1416396484,-40.22
1416406249,-39.78
1416416015,-40.19
1416425781,-40.17
1416435546,-40.02
1416445312,-40.96
1416455077,-39.83
1416464843,-40.13
1416474609,-40.75
1416484374,-40.59
1416494140,-40.67
1416503905,-40.55
1416513671,-40.64
1416523437,-40.03
1416533202,-40.79
1416542968,-40.13
1416552734,-40.8
1416562499,-40.57
1416572265,-40.83
1416582030,-40.67
1416591796,-40.44
1416601562,-40.23
1416611327,-40.99
1416621093,-40.86
1416630859,-40.11
1416640624,-39.98
1416650390,-40.25
1416660155,-39.74
1416669921,-39.7
1416679687,-39.43
1416689452,-40.41
1416699218,-41.17
1416708984,-40.21
1416718749,-39.98
1416728515,-39.64
1416738280,-39.76
1416748046,-39.84
1416757812,-40.46
1416767577,-40.26
1416777343,-40.7
1416787108,-40.19
1416796874,-40.79
1416806640,-40.6
1416816405,-40.63
1416826171,-40.49
1416835937,-39.72
1416845702,-39.95
1416855468,-40.04
1416865233,-40.84
1416874999,-40.65
1416884765,-41.16
1416894530,-40.7
1416904296,-39.86
1416914062,-40.3
1416923827,-40.01
1416933593,-40.1
1416943358,-40.43
1416953124,-40.05
1416962890,-40.25
1416972655,-40.21
1416982421,-41.16
1416992186,-40.17
1417001952,-40.03
1417011718,-40.52
1417021483,-40.87
1417031249,-40.68
1417041015,-40
1417050780,-40.16
1417060546,-40.21
1417070311,-39.55
1417080077,-40.28
1417089843,-40.37
1417099608,-40.45
1417109374,-40.13
1417119140,-40.08
1417128905,-41.29
1417138671,-41.02
1417148436,-40.94
1417158202,-41.17
1417167968,-41.12
1417177733,-41.15
1417187499,-41.04
1417197265,-41.62
1417207030,-40.86
1417216796,-42.34
1417226561,-41.09
1417236327,-42.16
1417246093,-41.41
1417255858,-42.06
1417265624,-41.76
1417275389,-41.29
1417285155,-41.78
1417294921,-42.69
1417304686,-42.06
1417314452,-42.19
1417324218,-42.4
1417333983,-42.62
1417343749,-42.73
1417353514,-42.78
1417363280,-43.05
1417373046,-42.76
1417382811,-43.51
1417392577,-43.23
1417402343,-43.59
1417412108,-43.38
1417421874,-43.99
1417431639,-44.36
1417441405,-43.74
1417451171,-43.82
1417460936,-44.18
1417470702,-44.32
1417480467,-44.92
1417490233,-45.12
1417499999,-45.12
1417500000,-21.19
1417509766,-25.96
1417519531,-33.93
1417529297,-37.57
1417539062,-39.35
1417548828,-40.07
1417558594,-41.18
1417568359,-41.94
1417578125,-42.1
1417587891,-41.8
1417597656,-38.06
1417607422,-34.87
1417617187,-41.28
1417626953,-41.79
1417636719,-42.63
1417646484,-42
1417656250,-42.56
1417666016,-42.7
1417675781,-43.06
1417685547,-42.05
1417695312,-41.76
1417705078,-42.07
1417714844,-41.27
1417724609,-41.75
1417734375,-42.18
1417744141,-41.93
1417753906,-42.41
1417763672,-41.48
1417773437,-41.54
1417783203,-41.41
1417792969,-41.06
1417802734,-41.2
1417812500,-40.91
1417822265,-42.02
1417832031,-40.48
1417841797,-40.56
1417851562,-40.21
1417861328,-40.1
1417871094,-40.82
1417880859,-40.44
1417890625,-41.03
1417900390,-40.38
1417910156,-39.76
1417919922,-40.32
1417929687,-39.99
1417939453,-40.76
1417949219,-40.1
1417958984,-40.36
1417968750,-40.42
1417978515,-39.27
1417988281,-39.77
1417998047,-40.05
1418007812,-39.48
1418017578,-39.96
1418027343,-39.72
1418037109,-39.98
1418046875,-40.85
1418056640,-40.4
1418066406,-40.96
1418076172,-41.1
1418085937,-39.94
1418095703,-40.04
1418105468,-39.91
1418115234,-39.73
1418125000,-39.66
1418134765,-39.94
1418144531,-40.9
1418154297,-40.38
1418164062,-39.56
1418173828,-40.27
1418183593,-40.58
1418193359,-40.69
1418203125,-40.29
1418212890,-40.05
1418222656,-40.32
1418232422,-40.2
1418242187,-41
1418251953,-40.51
1418261718,-40.51
1418271484,-40.17
1418281250,-40.51
1418291015,-40.71
1418300781,-41.07
1418310546,-40.23
1418320312,-40.22
1418330078,-40.96
1418339843,-40.73
1418349609,-40.07
1418359375,-39.86
1418369140,-39.61
1418378906,-40.82
1418388671,-39.68
1418398437,-39.99
1418408203,-40.48
1418417968,-39.8
1418427734,-40.36
1418437500,-40.24
1418447265,-40.4
1418457031,-40.21
1418466796,-40.08
1418476562,-40.47
1418486328,-40.28
1418496093,-40.94
1418505859,-40.67
1418515624,-39.68
1418525390,-40.26
1418535156,-40.2
1418544921,-40.17
1418554687,-39.41
1418564453,-40.12
1418574218,-40.43
1418583984,-40.06
1418593749,-40.15
1418603515,-39.77
1418613281,-39.91
1418623046,-40.09
1418632812,-40.16
1418642578,-39.94
1418652343,-39.72
1418662109,-40.17
1418671874,-39.57
1418681640,-39.45
1418691406,-39.19
1418701171,-39.72
1418710937,-39.89
1418720703,-39.7
1418730468,-40.13
1418740234,-40.1
1418749999,-39.82
1418759765,-39.82
1418769531,-40
1418779296,-39.17
1418789062,-39.08
1418798827,-32.7
1418808593,-33.04
1418818359,-39.09
1418828124,-39.68
1418837890,-39.42
1418847656,-40.21
1418857421,-39.72
1418867187,-39.41
1418876952,-40.3
1418886718,-40.08
1418896484,-39.6
1418906249,-40.3
1418916015,-39.52
1418925781,-39.77
1418935546,-39.85
1418945312,-40.39
1418955077,-40.45
1418964843,-40.2
1418974609,-40.75
1418984374,-40.79
1418994140,-39.52
1419003905,-40.39
1419013671,-40.55
1419023437,-40.14
1419033202,-40.2
1419042968,-40.31
1419052734,-40
1419062499,-40.03
1419072265,-40.36
1419082030,-40.46
1419091796,-40.44
1419101562,-40.91
1419111327,-40.29
1419121093,-40.25
1419130859,-40.5
1419140624,-39.37
1419150390,-40.07
1419160155,-40.67
1419169921,-40.56
1419179687,-39.96
1419189452,-40.69
1419199218,-40.74
1419208984,-40.07
1419218749,-40.34
1419228515,-40.43
1419238280,-40.23
1419248046,-39.99
1419257812,-40.17
1419267577,-40.98
1419277343,-40.54
1419287108,-40.27
1419296874,-40.66
1419306640,-40.13
1419316405,-40.88
1419326171,-40.39
1419335937,-40.3
1419345702,-40.35
1419355468,-40.05
1419365233,-39.71
1419374999,-39.89
1419384765,-40.2
1419394530,-40.59
1419404296,-39.74
1419414062,-40.33
1419423827,-40.62
1419433593,-40.43
1419443358,-39.9
1419453124,-41.11
1419462890,-40.42
1419472655,-39.9
1419482421,-40.64
1419492186,-39.87
1419501952,-40.67
1419511718,-40
1419521483,-39.87
1419531249,-40.48
1419541015,-40.82
1419550780,-40.21
1419560546,-40.27
1419570311,-40.06
1419580077,-39.36
1419589843,-40.46
1419599608,-40.19
1419609374,-40.7
1419619140,-39.83
1419628905,-40.67
1419638671,-40.22
1419648436,-40.68
1419658202,-40.63
1419667968,-41.06
1419677733,-41.72
1419687499,-41.21
1419697265,-40.98
1419707030,-41.21
1419716796,-40.16
1419726561,-41.42
1419736327,-42.06
1419746093,-41.83
1419755858,-41.54
1419765624,-41.65
1419775389,-41.48
